iter	Passed	Remaining
0	137	137407
1	146	73278
2	155	51559
3	165	41144
4	174	34817
5	183	30404
6	193	27493
7	218	27089
8	227	25079
9	236	23375
10	244	21952
11	253	20891
12	262	19958
13	272	19205
14	282	18531
15	291	17897
16	300	17385
17	309	16895
18	318	16434
19	327	16050
20	336	15672
21	346	15405
22	357	15197
23	367	14957
24	377	14720
25	388	14543
26	397	14326
27	408	14169
28	418	14015
29	429	13884
30	440	13763
31	451	13663
32	462	13553
33	473	13454
34	484	13364
35	495	13280
36	507	13201
37	519	13161
38	531	13089
39	543	13036
40	555	12983
41	569	13000
42	584	12999
43	597	12980
44	610	12960
45	624	12944
46	637	12928
47	650	12908
48	663	12886
49	677	12867
50	690	12840
51	703	12824
52	716	12795
53	728	12765
54	740	12725
55	752	12680
56	764	12649
57	776	12607
58	788	12569
59	800	12537
60	812	12505
61	827	12512
62	838	12470
63	850	12432
64	861	12393
65	873	12362
66	886	12343
67	898	12315
68	911	12299
69	923	12264
70	934	12231
71	946	12199
72	959	12182
73	971	12158
74	984	12141
75	997	12130
76	1011	12120
77	1023	12097
78	1035	12071
79	1046	12038
80	1059	12022
81	1073	12019
82	1086	12002
83	1098	11978
84	1110	11954
85	1124	11950
86	1139	11962
87	1153	11959
88	1168	11956
89	1181	11949
90	1196	11952
91	1211	11959
92	1226	11965
93	1237	11929
94	1248	11896
95	1259	11859
96	1270	11830
97	1282	11808
98	1294	11782
99	1306	11756
100	1317	11730
101	1328	11691
102	1339	11665
103	1350	11637
104	1361	11608
105	1373	11587
106	1386	11568
107	1397	11540
108	1408	11512
109	1420	11491
110	1432	11469
111	1443	11445
112	1455	11424
113	1465	11390
114	1476	11363
115	1486	11326
116	1496	11296
117	1508	11272
118	1519	11247
119	1531	11227
120	1542	11206
121	1554	11185
122	1566	11168
123	1580	11162
124	1592	11147
125	1606	11142
126	1619	11133
127	1633	11128
128	1646	11115
129	1657	11092
130	1667	11063
131	1678	11036
132	1689	11014
133	1700	10990
134	1713	10977
135	1725	10963
136	1738	10949
137	1748	10920
138	1758	10893
139	1768	10865
140	1779	10838
141	1790	10819
142	1801	10796
143	1812	10775
144	1823	10753
145	1836	10739
146	1848	10727
147	1860	10709
148	1872	10694
149	1884	10681
150	1898	10675
151	1913	10672
152	1927	10670
153	1941	10665
154	1954	10656
155	1968	10650
156	1982	10644
157	1996	10641
158	2010	10635
159	2024	10627
160	2037	10618
161	2052	10614
162	2067	10618
163	2082	10617
164	2096	10610
165	2110	10604
166	2124	10596
167	2138	10589
168	2151	10581
169	2165	10574
170	2180	10569
171	2193	10558
172	2208	10555
173	2221	10547
174	2236	10542
175	2250	10536
176	2264	10531
177	2277	10519
178	2292	10513
179	2307	10511
180	2321	10504
181	2336	10499
182	2350	10492
183	2363	10481
184	2377	10475
185	2391	10465
186	2404	10454
187	2418	10446
188	2431	10432
189	2445	10426
190	2459	10415
191	2472	10407
192	2487	10401
193	2503	10399
194	2516	10389
195	2530	10380
196	2545	10374
197	2558	10363
